PERMNO,date,TICKER,BIDLO,ASKHI,PRC,VOL,OPENPRC
90319,02/25/2015,GOOGL,538.01001,549.57001,547.33002,2041827,538.44000
90319,02/26/2015,GOOGL,545.09003,560.12988,559.28998,2701584,545.73999
90319,02/27/2015,GOOGL,557.03003,569.41998,562.63000,3416445,558.15002
90319,03/02/2015,GOOGL,563.15002,575.98999,575.02002,2520304,567.00000
90319,03/03/2015,GOOGL,570.50000,580.84998,578.79498,2526280,576.34998
90319,03/04/2015,GOOGL,572.52002,581.63000,578.33002,1899672,576.96997
90319,03/05/2015,GOOGL,578.22998,583.20001,581.43500,1795889,579.62000
90319,03/06/2015,GOOGL,572.06000,582.78003,572.90002,1879619,582.00000
90319,03/09/2015,GOOGL,569.04999,575.45001,574.09998,1174244,570.91998
90319,03/10/2015,GOOGL,559.82001,569.76202,559.84998,2004024,568.47498
90319,03/11/2015,GOOGL,555.40997,564.17999,555.69000,2026158,559.79999
90319,03/12/2015,GOOGL,555.53003,561.84003,561.16998,1780057,558.47998
90319,03/13/2015,GOOGL,550.33002,564.35999,553.00000,1771354,559.22998
90319,03/16/2015,GOOGL,551.32001,563.75000,561.64001,1842754,556.92999
90319,03/17/2015,GOOGL,554.40997,560.64001,557.60999,1444560,558.28998
90319,03/18/2015,GOOGL,553.50000,566.51001,566.15997,1766221,557.72998
